timestamp,Clg Vlv Cmd (%),OA Damper Cmd (%),Prht Vlv Cmd (%),RA_EA Damper Cmd (%),RF Spd Cmd (%),SF Spd Cmd (%),SA Static Press (inH₂O),Eff SAT Sp (°F),MAT (°F),OAT (°F),RAT (°F),SAT (°F),Econ Ena,EF Ena,Occupancy,RF Cmd,RF Sts,SF Cmd,Schedule,SF Sts
2025-01-01 11:45:00,0.0,20.0,0.0,20.0,20.0,62.60219955444336,1.5123000144958496,63.02870178222656,62.83399963378906,51.38840103149414,70.71800231933594,64.25599670410156,,,,,,,,
2025-01-01 12:00:00,0.0,20.0,0.0,20.0,20.0,62.967899322509766,1.5318000316619873,63.26499938964844,62.83399963378906,52.51430130004883,70.59200286865234,64.34600067138672,,,,,,,,
2025-01-01 12:15:00,0.0,24.8518009185791,0.0,24.8518009185791,20.0,62.59280014038086,1.4559999704360962,62.9275016784668,62.492000579833984,52.62979888916016,70.77200317382812,64.05799865722656,,,,,,,,
2025-01-01 12:30:00,0.0,30.03039932250977,0.0,30.03039932250977,22.52280044555664,63.030399322509766,1.4859999418258667,63.26499938964844,62.402000427246094,52.91630172729492,70.59200286865234,63.68000030517578,,,,,,,,
2025-01-01 12:45:00,0.0,31.23349952697754,0.0,31.23349952697754,23.42510032653809,62.9202995300293,1.5078999996185305,62.9275016784668,61.30400085449219,53.311798095703125,70.77200317382812,62.58200073242188,,,,,,,,
2025-01-01 13:00:00,0.0,26.10810089111328,0.0,26.10810089111328,20.0,62.98690032958984,1.5354000329971311,62.9275016784668,61.34000015258789,53.42359924316406,70.77200317382812,62.492000579833984,,,,,,,,
2025-01-01 13:15:00,0.0,25.7278995513916,0.0,25.7278995513916,20.0,62.53400039672852,1.504899978637695,62.62379837036133,61.93399810791016,53.865501403808594,70.93399810791016,63.03200149536133,,,,,,,,
2025-01-01 13:30:00,0.0,26.830799102783203,0.0,26.830799102783203,20.12310028076172,62.68349838256836,1.5042999982833862,62.9275016784668,61.86199951171875,53.47930145263672,70.77200317382812,62.959999084472656,,,,,,,,
2025-01-01 13:45:00,0.0,26.985599517822266,0.0,26.985599517822266,20.239200592041016,62.51399993896485,1.4871000051498413,62.9275016784668,61.64599990844727,53.865501403808594,70.77200317382812,62.77999877929688,,,,,,,,
2025-01-01 14:00:00,0.0,20.02389907836914,0.0,20.02389907836914,20.0,62.89149856567383,1.5255999565124512,63.26499938964844,61.73600006103516,,70.59200286865234,62.869998931884766,,,,,,,,
